path	relative_to	method	data_type	cohort	modality	source
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/AC_DeJager_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	AC	FunGen-xQTL release (Synapse syn68872650)
analysis_result/multi_gene/ROSMAP/export/summary/context_specific/ROSMAP_AC_DeJager_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	multi_gene_finemapping	eQTL	ROSMAP	AC	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/AC/LR/	AD_LOCI_ROOT	LR	eQTL	ROSMAP	AC	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/AC/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	ROSMAP	AC	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/AC/interaction/APOE/	AD_LOCI_ROOT	APOE interaction	eQTL	ROSMAP	AC	FunGen-xQTL release (Synapse syn68872650)
analysis_result/quantile_qtl/export/pure_qr.qtl.bonf_fdr_add_xi.classification.tsv.gz	AD_LOCI_ROOT	QR	eQTL & pQTL	ROSMAP, MSBB, KNIGHT	-	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Ast_10_Kellis_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Ast_10_Kellis	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Ast_DeJager_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Ast_DeJager	FunGen-xQTL release (Synapse syn68872650)
analysis_result/multi_gene/ROSMAP/export/summary/context_specific/ROSMAP_Ast_DeJager_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	multi_gene_finemapping	eQTL	ROSMAP	Ast_DeJager	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_DeJager/Ast/LR/	AD_LOCI_ROOT	LR	eQTL	ROSMAP	snuc_DeJager/Ast	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_DeJager/Ast/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	ROSMAP	snuc_DeJager/Ast	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_DeJager/Ast/interaction/APOE/	AD_LOCI_ROOT	APOE interaction	eQTL	ROSMAP	snuc_DeJager/Ast	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Ast_Kellis_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Ast_Kellis	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Ast_mega_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Ast_mega	FunGen-xQTL release (Synapse syn68872650)
analysis_result/multi_gene/ROSMAP/export/summary/context_specific/ROSMAP_Ast_mega_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	multi_gene_finemapping	eQTL	ROSMAP	Ast_mega	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_mega/Ast/LR/	AD_LOCI_ROOT	LR	eQTL	ROSMAP	snuc_mega/Ast	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_mega/Ast/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	ROSMAP	snuc_mega/Ast	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_mega/Ast/interaction/APOE/	AD_LOCI_ROOT	APOE interaction	eQTL	ROSMAP	snuc_mega/Ast	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/MSBB_eQTL/export/summary/context_specific/BM_10_MSBB_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	MSBB	BM_10	FunGen-xQTL release (Synapse syn68872650)
analysis_result/multi_gene/MSBB/export/summary/context_specific/MSBB_BM_10_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	multi_gene_finemapping	eQTL	MSBB	BM_10	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MSBB/eQTL/BM_10/LR/	AD_LOCI_ROOT	LR	eQTL	MSBB	BM_10	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MSBB/eQTL/BM_10/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	MSBB	BM_10	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/MSBB_eQTL/export/summary/context_specific/BM_22_MSBB_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	MSBB	BM_22	FunGen-xQTL release (Synapse syn68872650)
