ADlocus,ADlocusID,locus_index,n_variants,status
chr1_1,chr1_17117119_17117119,1,1,coloc-retained
chr1_2,chr1_23939236_24009153,2,78,coloc-retained
chr1_5,chr1_161185602_161185602,3,1,gwas-rescued
chr1_6,chr1_161189357_161217875,4,3,coloc-retained
chr1_15,chr1_161219923_161219923,5,1,coloc-retained
chr1_17,chr1_200905600_201046655,6,37,coloc-retained
chr1_23,chr1_207510847_207633385,7,18,coloc-retained
chr1_43,chr1_225472357_225648417,8,133,coloc-retained
chr2_1,chr2_9403723_9565776,9,59,coloc-retained
chr2_7,chr2_37236717_37334214,10,28,coloc-retained
chr2_9,chr2_105749599_105749599,11,1,coloc-retained
chr2_18,chr2_127090354_127131181,12,2,coloc-retained
chr2_14,chr2_127088380_127132356,13,22,coloc-retained
chr2_19,chr2_127133851_127135234,14,2,coloc-retained
chr2_37,chr2_134840738_134998059,15,83,coloc-retained
chr2_43,chr2_159561029_159816321,16,246,coloc-retained
chr2_45,chr2_160386261_160464331,17,15,gwas-rescued
chr2_46,chr2_202469099_203331895,18,250,coloc-retained
chr2_60,chr2_233117202_233117202,19,1,coloc-retained
chr2_67,chr2_233119593_233180566,20,66,coloc-retained
chr3_2,chr3_155028521_155072292,22,50,coloc-retained
chr3_6,chr3_155084189_155135932,23,2,gwas-rescued
chr3_8,chr3_184207504_184220014,24,10,coloc-retained
chr4_1,chr4_959405_990021,25,10,coloc-retained
chr4_6,chr4_11013198_11038782,26,15,coloc-retained
chr4_12,chr4_40197226_40197226,27,1,coloc-retained
chr4_16,chr4_143427306_143462069,30,10,gwas-rescued
chr5_2,chr5_14654355_14730221,31,24,coloc-retained
chr5_8,chr5_86890964_87004641,32,23,coloc-retained
chr5_13,chr5_87013307_87152123,33,82,coloc-retained
chr5_16,chr5_87121196_87161418,34,23,coloc-retained
chr5_18,chr5_124882115_124900203,35,9,coloc-retained
chr5_20,chr5_140322335_140335252,36,10,coloc-retained
